,train_PCE_mae,train_PCE_rmse,train_latents_mae,train_latents_rmse,train_etm_ce,train_etm_accuracy,train_htm_ce,train_htm_accuracy,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
793,2.6347631286172306,3.672107500188491,0.030242786961881554,0.12486021154943634,0.009237240917761536,0.8911884672501508,0.0034206483567900516,0.9879411879707786,2.8734873743618237,0.19582355898969314,0.0,0.0,0.0
794,2.564308397910174,3.5195688920862533,0.02794409225530484,0.12246830301249728,0.009026814909542309,0.8933133237502154,0.00335273497244891,0.9878991702023674,2.7996861934661865,0.1950541822349324,0.0,0.0,0.0
795,2.599918814266429,3.6128917301402375,0.03142474569818553,0.1303526675876449,0.009054453386103405,0.8896158442777746,0.00364178089041482,0.9900000095367432,2.839416910620297,0.19537712370648103,0.0,0.0,0.0
796,2.644625789978925,3.6447209610658535,0.028559908928240046,0.11781848441152011,0.008983742445707321,0.8940576104556813,0.0032282801454558093,0.9899790006525376,2.8809902247260597,0.19559256118886612,0.0,0.0,0.0
797,2.604190461775836,3.613451354643878,0.027644469512297827,0.12822745630846305,0.009034445892800303,0.8963745411704568,0.0031021489104365602,0.9916176550528583,2.8401712670045742,0.196199712507865,0.0,0.0,0.0
798,2.63380924393149,3.605865212047801,0.03209518318009727,0.14201171641402385,0.008978243643308388,0.8979231855448555,0.003312963239081642,0.9908403438680312,2.8735525608062744,0.19535689494189093,0.0,0.0,0.0
799,2.643409616806928,3.649501730413998,0.0291312076151371,0.12941525986089425,0.00908660628449391,0.8935053874464596,0.0035133103785269402,0.992941183202407,2.879088149351232,0.19394737131455364,0.0,0.0,0.0
800,2.606335527756635,3.6420313190011417,0.029511094093322754,0.12508000674493172,0.008618515532682924,0.8892316818237305,0.0035584008677259963,0.9927941245191237,2.841253392836627,0.19322986813152537,0.0,0.0,0.0
801,2.581941716811236,3.586771333918852,0.03277351175818373,0.1241128578891649,0.008526007918750538,0.896878743872923,0.0034151957301861223,0.9930882418856901,2.8206531160018025,0.19399665909654953,0.0,0.0,0.0
802,2.568564583273495,3.553825013777789,0.02827980610377648,0.11956938717733412,0.009158994290320313,0.8971188454067006,0.003377936396966962,0.9933823592522565,2.802810514674467,0.19342923076713786,0.0,0.0,0.0
803,2.552979350090027,3.527909082524917,0.03156672889257178,0.12548207721727736,0.008917708935983041,0.8971788778024561,0.0033339693019276157,0.9920378222185022,2.790574445443995,0.1937766995500116,0.0,0.0,0.0
804,2.588965696447036,3.58168028382694,0.03417095092727857,0.13528542899910143,0.00855408124077846,0.8934333569863263,0.003419404965825379,0.9923529484692741,2.8285729183870205,0.19346278204637415,0.0,0.0,0.0
805,2.665657576392679,3.6914430085350487,0.027640397003030077,0.12178913492928534,0.00834747965392821,0.8906362547593958,0.003426584428833688,0.9938235353021061,2.898206724840052,0.19313462516840765,0.0,0.0,0.0
806,2.644089039634256,3.5831196308135986,0.02668813320205492,0.11982824269901304,0.008410169934744345,0.8926650461028603,0.0033933495322023242,0.992205889785991,2.8754125623142017,0.19283186951104334,0.0,0.0,0.0
