,train_PCE_mae,train_PCE_rmse,train_latents_mae,train_latents_rmse,train_etm_ce,train_etm_accuracy,train_htm_ce,train_htm_accuracy,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
469,2.962187037748449,3.9652260612039005,0.5314210477997275,0.9978289113325232,0.7408296746366164,0.6825210136525771,0.21994932215003407,0.8488865599912756,4.541378834668328,0.08699164539575577,0.0,0.0,0.0
470,2.9240266856025245,3.902920400395113,0.5252015064744389,0.9771035278544706,0.7191684771986568,0.68859543169246,0.18601489724481807,0.858718496911666,4.4414368657504815,0.08702519930460874,0.0,0.0,0.0
471,2.8916109169230744,3.8706592812257656,0.5360931754112244,1.0116051400409025,0.7304516154177049,0.6843937565298641,0.1887938520487617,0.8506932854652405,4.433979272842407,0.08702968455412809,0.0,0.0,0.0
472,2.96333451832042,3.996894261416267,0.5199047309510848,0.9682497522410225,0.7077016199336332,0.6879711852354162,0.18650521162678213,0.8481722754590652,4.464520678800695,0.0870745896416552,0.0,0.0,0.0
473,2.894478910109576,3.8383782330681298,0.5272664743311265,0.9748413317343768,0.7282409878338084,0.6828451366985545,0.19358042802880793,0.8543907684438369,4.430565553552964,0.08699875368791468,0.0,0.0,0.0
474,2.960118728525498,3.9521130954518036,0.5183154169250938,0.9602378291242263,0.7122366323190576,0.6850059908979079,0.18343543589991682,0.8569748015964732,4.461012601852417,0.08690633800099878,0.0,0.0,0.0
475,2.913306432611802,3.9002447689280793,0.5195224951295292,0.9631731685470132,0.7223163913278019,0.6867226677782395,0.19858669927891562,0.8516176553333507,4.44075766731711,0.087025708573706,0.0,0.0,0.0
476,2.895074353498571,3.9074359641355625,0.5189519892720615,0.9660973478766048,0.7190372207585503,0.6857022888520184,0.1885584312326768,0.8513235344606287,4.408758079304414,0.08713614590027753,0.0,0.0,0.0
477,2.882975129520192,3.9011831704308007,0.5308112589751973,0.9837102399152868,0.7124476362677181,0.6878631430513719,0.19538390548790202,0.8533823630389046,4.408984058043536,0.0873661549652324,0.0,0.0,0.0
478,2.8697632481070126,3.854003443437464,0.5214205857585458,0.9769454388057485,0.7224570688079385,0.6807563129593345,0.19440683547188253,0.8442647176630357,4.395691759446088,0.08764406512765323,0.0,0.0,0.0
