val_PCE_mae,val_PCE_rmse,val_latents_mae,val_latents_rmse,val_etm_ce,val_etm_accuracy,val_htm_ce,val_htm_accuracy,total_val_loss,epoch,step,train_PCE_mae,train_PCE_rmse,train_latents_mae,train_latents_rmse,train_etm_ce,train_etm_accuracy,train_htm_ce,train_htm_accuracy,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
14.794699668884277,15.510442733764648,0.6823296546936035,1.0467591285705566,2.1253578662872314,0.45571425557136536,1.63566255569458,0.328000009059906,19.238048553466797,0,16,,,,,,,,,,,,,
,,,,,,,,,0,16,14.499513626098633,15.214237213134766,0.7607610821723938,1.1198657751083374,2.260230302810669,0.44181281328201294,1.7223470211029053,0.354474812746048,20.001129150390625,0.7582765817642212,0.0,0.0,0.0
14.794699668884277,15.510442733764648,0.6081762909889221,0.9840400815010071,1.992193341255188,0.5239999890327454,1.404921531677246,0.5389999747276306,18.799991607666016,1,33,,,,,,,,,,,,,
,,,,,,,,,1,33,14.320250511169434,15.088522911071777,0.6841195821762085,1.096008539199829,2.0946431159973145,0.47200483083724976,1.4811782836914062,0.4404831826686859,19.317026138305664,0.7368377447128296,0.0,0.0,0.0
14.794699668884277,15.510442733764648,0.5465893745422363,0.9271703958511353,1.8771436214447021,0.5728572010993958,1.2084699869155884,0.6134999990463257,18.426902770996094,2,50,,,,,,,,,,,,,
,,,,,,,,,2,50,14.421231269836426,15.163124084472656,0.6217188835144043,1.0263841152191162,1.9571616649627686,0.5193157196044922,1.249423861503601,0.5793067216873169,18.966461181640625,0.7169251441955566,0.0,0.0,0.0
13.569906234741211,14.440622329711914,0.5129085779190063,0.8907878994941711,1.7834166288375854,0.6288571953773499,1.034389615058899,0.6589999794960022,16.90062141418457,3,67,,,,,,,,,,,,,
,,,,,,,,,3,67,14.256669044494629,15.03878402709961,0.5624356865882874,0.95929354429245,1.8345365524291992,0.579051673412323,1.0762405395507812,0.6684663891792297,18.42962074279785,0.6997380256652832,0.0,0.0,0.0
9.874513626098633,11.222128868103027,0.4923171401023865,0.8686153888702393,1.7107466459274292,0.6242856979370117,0.9298591017723083,0.7289999723434448,13.007436752319336,4,84,,,,,,,,,,,,,
,,,,,,,,,4,84,12.332462310791016,13.527899742126465,0.5308135151863098,0.9108266830444336,1.7323031425476074,0.6053901314735413,0.9420397877693176,0.7448949217796326,16.226181030273438,0.6885628700256348,0.0,0.0,0.0
9.346260070800781,10.943829536437988,0.4452989399433136,0.8269010782241821,1.6566334962844849,0.6248571872711182,0.8748786449432373,0.8190000057220459,12.323070526123047,5,101,,,,,,,,,,,,,
,,,,,,,,,5,101,11.4710054397583,12.842111587524414,0.4972285032272339,0.8791012167930603,1.6645593643188477,0.6100359559059143,0.8650962114334106,0.8173109292984009,15.178905487060547,0.6810166239738464,0.0,0.0,0.0
8.86180591583252,10.561822891235352,0.41504549980163574,0.8011960983276367,1.5866084098815918,0.6245714426040649,0.8206608295440674,0.8100000023841858,11.684121131896973,6,118,,,,,,,,,,,,,
,,,,,,,,,6,118,10.85583782196045,12.319727897644043,0.47037404775619507,0.8782485127449036,1.58041250705719,0.6157143115997314,0.808970034122467,0.8376050591468811,14.3916654586792,0.6760712265968323,0.0,0.0,0.0
8.82103443145752,10.596692085266113,0.3906705975532532,0.777519166469574,1.5417065620422363,0.6351428627967834,0.7769911885261536,0.8274999856948853,11.530403137207031,7,135,,,,,,,,,,,,,
,,,,,,,,,7,135,10.495867729187012,12.062376976013184,0.4646984040737152,0.8983726501464844,1.5137187242507935,0.62309730052948,0.7662890553474426,0.857310950756073,13.911664962768555,0.6710910797119141,0.0,0.0,0.0
8.460138320922852,10.345468521118164,0.367637574672699,0.7568457126617432,1.4947166442871094,0.6551429033279419,0.7247068285942078,0.8414999842643738,11.047200202941895,8,152,,,,,,,,,,,,,
,,,,,,,,,8,152,10.602692604064941,12.210343360900879,0.41680851578712463,0.8290930986404419,1.469475507736206,0.6416327357292175,0.7104074358940125,0.8671008348464966,13.865382194519043,0.6659969687461853,0.0,0.0,0.0
8.362356185913086,10.290407180786133,0.3484138250350952,0.7395673394203186,1.45033597946167,0.6620000004768372,0.6778520345687866,0.8654999732971191,10.838956832885742,9,169,,,,,,,,,,,,,
,,,,,,,,,9,169,10.34779167175293,11.920795440673828,0.3939663767814636,0.8090452551841736,1.434884786605835,0.6556662321090698,0.68076092004776,0.8709874153137207,13.519621849060059,0.6622187495231628,0.0,0.0,0.0
8.339608192443848,10.272801399230957,0.33905282616615295,0.7301389575004578,1.4100159406661987,0.6731428503990173,0.642292320728302,0.8654999732971191,10.730969429016113,10,186,,,,,,,,,,,,,
,,,,,,,,,10,186,10.05676555633545,11.73436450958252,0.37167948484420776,0.7705971598625183,1.3774919509887695,0.6610204577445984,0.6282050013542175,0.8765336275100708,13.093257904052734,0.6591141819953918,0.0,0.0,0.0
8.251265525817871,10.207304954528809,0.3289935290813446,0.7180718183517456,1.3687903881072998,0.6745713949203491,0.6149247288703918,0.8644999861717224,10.563974380493164,11,203,,,,,,,,,,,,,
,,,,,,,,,11,203,10.150485038757324,11.806180000305176,0.3787684440612793,0.7977217435836792,1.3427921533584595,0.6684633493423462,0.6097842454910278,0.8738024830818176,13.137862205505371,0.6560325026512146,0.0,0.0,0.0
8.350406646728516,10.270743370056152,0.31483545899391174,0.7028137445449829,1.3267710208892822,0.6768571734428406,0.5837939977645874,0.8889999985694885,10.5758056640625,12,220,,,,,,,,,,,,,
,,,,,,,,,12,220,9.866799354553223,11.574786186218262,0.3614739775657654,0.7754068970680237,1.284766674041748,0.6704800724983215,0.5737558007240295,0.8914706110954285,12.739931106567383,0.6531360745429993,0.0,0.0,0.0
8.425392150878906,10.292231559753418,0.3049820363521576,0.6909095048904419,1.291221261024475,0.6779999732971191,0.5531885027885437,0.8949999809265137,10.574784278869629,13,237,,,,,,,,,,,,,
,,,,,,,,,13,237,9.875449180603027,11.637739181518555,0.33582213521003723,0.7343851327896118,1.2480183839797974,0.6720048189163208,0.5472857356071472,0.9066596627235413,12.657176971435547,0.650599479675293,0.0,0.0,0.0
8.175033569335938,10.158193588256836,0.2944963574409485,0.6792928576469421,1.248822808265686,0.6831428408622742,0.5228422284126282,0.8970000147819519,10.241195678710938,14,254,,,,,,,,,,,,,
,,,,,,,,,14,254,10.130544662475586,11.7951021194458,0.3313734829425812,0.7481991648674011,1.2200932502746582,0.6733613610267639,0.5160176157951355,0.9107983112335205,12.84550666809082,0.647478461265564,0.0,0.0,0.0
8.579930305480957,10.32536506652832,0.28849440813064575,0.6724246740341187,1.2122957706451416,0.7011428475379944,0.5003452301025391,0.890500009059906,10.581066131591797,15,271,,,,,,,,,,,,,
,,,,,,,,,15,271,9.973280906677246,11.729083061218262,0.32686325907707214,0.7359160780906677,1.1863576173782349,0.6916927099227905,0.5069063305854797,0.901260495185852,12.638565063476562,0.6451563835144043,0.0,0.0,0.0
8.222103118896484,10.19727897644043,0.2820233702659607,0.6633416414260864,1.1770352125167847,0.7139999866485596,0.4758058488368988,0.8895000219345093,10.156968116760254,16,288,,,,,,,,,,,,,
,,,,,,,,,16,288,9.938319206237793,11.714583396911621,0.30677446722984314,0.685053288936615,1.1496230363845825,0.7096158266067505,0.4633502960205078,0.9006512761116028,12.500370979309082,0.6423040628433228,0.0,0.0,0.0
5.768252372741699,7.642009258270264,0.28068578243255615,0.6554871201515198,1.138346791267395,0.7242857813835144,0.46118485927581787,0.8945000171661377,7.648470878601074,17,305,,,,,,,,,,,,,
,,,,,,,,,17,305,8.943563461303711,10.751410484313965,0.3137223422527313,0.7097228765487671,1.1169145107269287,0.7185353636741638,0.45679107308387756,0.8992226719856262,11.470621109008789,0.639629602432251,0.0,0.0,0.0
5.445732593536377,7.277353286743164,0.27910175919532776,0.6481179594993591,1.1029648780822754,0.7248570919036865,0.43873661756515503,0.8949999809265137,7.266534805297852,18,322,,,,,,,,,,,,,
,,,,,,,,,18,322,7.074264049530029,8.880311012268066,0.3032695949077606,0.6754990816116333,1.065644383430481,0.716758668422699,0.4389263987541199,0.9022479057312012,9.518260955810547,0.6361559629440308,0.0,0.0,0.0
5.0655107498168945,7.045458793640137,0.27695122361183167,0.6438608765602112,1.0764728784561157,0.7508571147918701,0.4205699861049652,0.8989999890327454,6.839504241943359,19,339,,,,,,,,,,,,,
,,,,,,,,,19,339,6.5353684425354,8.25291633605957,0.3052278459072113,0.677550196647644,1.0306719541549683,0.7258222699165344,0.41626620292663574,0.9119328260421753,8.919633865356445,0.632099986076355,0.0,0.0,0.0
5.049847602844238,6.929732322692871,0.2697886526584625,0.6338096261024475,1.049317479133606,0.76285719871521,0.4063681364059448,0.8985000252723694,6.775321960449219,20,356,,,,,,,,,,,,,
,,,,,,,,,20,356,6.287746429443359,8.03971004486084,0.2975575029850006,0.6675372123718262,1.0028252601623535,0.7425209879875183,0.3997601270675659,0.9100210666656494,8.616462707519531,0.6285743117332458,0.0,0.0,0.0
5.124826431274414,6.9165802001953125,0.26139524579048157,0.6228817105293274,1.0206425189971924,0.7460000514984131,0.3903973400592804,0.9194999933242798,6.797261714935303,21,373,,,,,,,,,,,,,
,,,,,,,,,21,373,6.221255779266357,7.928863525390625,0.2904540002346039,0.6641061305999756,0.9845454692840576,0.7421128749847412,0.38860729336738586,0.9206932783126831,8.511033058166504,0.6261700987815857,0.0,0.0,0.0
5.021002292633057,6.916264533996582,0.2597132623195648,0.6171430349349976,1.004754900932312,0.7502857446670532,0.37671637535095215,0.9240000247955322,6.662186622619629,22,390,,,,,,,,,,,,,
,,,,,,,,,22,390,6.152654647827148,7.8699822425842285,0.27658355236053467,0.6259149312973022,0.9679343104362488,0.737250804901123,0.3703351318836212,0.9256722331047058,8.391173362731934,0.6236665844917297,0.0,0.0,0.0
5.005951881408691,6.787544250488281,0.2550564110279083,0.6105329394340515,0.9855583310127258,0.7351428270339966,0.36466529965400696,0.921999990940094,6.611231327056885,23,407,,,,,,,,,,,,,
,,,,,,,,,23,407,6.04857063293457,7.75005578994751,0.27000299096107483,0.6069441437721252,0.9389730095863342,0.7367706894874573,0.3669582009315491,0.9230462312698364,8.245246887207031,0.6207416653633118,0.0,0.0,0.0
