Perovskite_single_crystal,Perovskite_dimension_0D,Perovskite_dimension_2D,Perovskite_dimension_2D3D_mixture,Perovskite_dimension_3D,Perovskite_dimension_3D_with_2D_capping_layer,Perovskite_dimension_list_of_layers,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_perovskite_inspired_structure,Perovskite_composition_long_form,Perovskite_composition_a_ions,a_1,a_2,a_3,a_4,Perovskite_composition_a_ions_coefficients,a_1_coeff,a_2_coeff,a_3_coeff,a_4_coeff,A_ion_rad,A_at_wt,A_EA,A_IE,A_En,Perovskite_composition_b_ions,b_1,b_2,Perovskite_composition_b_ions_coefficients,b_1_coeff,b_2_coeff,B_ion_rad,B_at_wt,B_EA,B_IE,B_En,Perovskite_composition_c_ions,c_1,c_2,Perovskite_composition_c_ions_coefficients,c_1_coeff,c_2_coeff,X_ion_rad,X_atom_wt,X_EA,X_IE,X_En,Tolerance Factor,Octahedral Factor,Perovskite_band_gap,Perovskite_band_gap_graded,Perovskite_band_gap_estimation_basis,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_procedure,Perovskite_deposition_quenching_induced_crystallisation,Substrate_stack_sequence,ETL_stack_sequence,HTL_stack_sequence,JV_average_over_n_number_of_cells,Air or N2,JV_test_atmosphere,JV_light_intensity,JV_light_spectra,JV_light_masked_cell,JV_test_temperature,JV_scan_speed,JV_reverse_scan_Voc,JV_reverse_scan_Jsc,JV_reverse_scan_FF,JV_reverse_scan_PCE
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,MAPbI3,MA,MA,na,na,na,1,1,0,0,0,2.17,32.07,8.68,926.3,2.55,Pb,Pb,na,1,1,0,1.19,207.2,110,715.6,2.33,I,I,na,3,3,0,2.2,126.9,295.3,1008.4001,2.66,0.911521131,0.540909091,1.6,FALSE,Composition,1,Spin-coating,1,SLG | FTO,TiO2-c,Spiro-MeOTAD,1,Air,Air,100,AM 1.5,FALSE,,50,1.12,20.3,0.71,16.1
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,FAPbI3,FA,FA,na,na,na,1,1,0,0,0,2.53,45.06,8.6,849.1,2.57,Pb,Pb,na,1,1,0,1.19,207.2,110,715.6,2.33,I,I,na,3,3,0,2.2,126.9,295.3,1008.4001,2.66,0.986612117,0.540909091,1.48,FALSE,Composition,1,Spin-coating,1,SLG | FTO,TiO2-c | TiO2-mp,Spiro-MeOTAD,1,Air,Air,100,AM 1.5,FALSE,,,0.954,17.63,0.65,10.94
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,FAPbI3,FA,FA,na,na,na,1,1,0,0,0,2.53,45.06,8.6,849.1,2.57,Pb,Pb,na,1,1,0,1.19,207.2,110,715.6,2.33,I,I,na,3,3,0,2.2,126.9,295.3,1008.4001,2.66,0.986612117,0.540909091,1.48,FALSE,Composition,1,Spin-coating,1,SLG | FTO,TiO2-c | TiO2-mp,Spiro-MeOTAD,1,Air,Air,100,AM 1.5,FALSE,,,1.057,23.2,0.709,17.36
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,MAPbI3,MA,MA,na,na,na,1,1,0,0,0,2.17,32.07,8.68,926.3,2.55,Pb,Pb,na,1,1,0,1.19,207.2,110,715.6,2.33,I,I,na,3,3,0,2.2,126.9,295.3,1008.4001,2.66,0.911521131,0.540909091,1.6,FALSE,Composition,1,Spin-coating,1,SLG | FTO,TiO2-c,Spiro-MeOTAD,1,Air,Air,100,AM 1.5,FALSE,,,0.96,12.89,0.54,6.75
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,MAPbI3,MA,MA,na,na,na,1,1,0,0,0,2.17,32.07,8.68,926.3,2.55,Pb,Pb,na,1,1,0,1.19,207.2,110,715.6,2.33,I,I,na,3,3,0,2.2,126.9,295.3,1008.4001,2.66,0.911521131,0.540909091,1.6,FALSE,Composition,1,Spin-coating,1,SLG | ITO,SnO2-c,Spiro-MeOTAD,1,Air,Air,100,AM 1.5,FALSE,,100,1.09,23.38,0.733,19.95
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,Cs0.05FA0.79MA0.16PbBr0.51I2.49,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.79; 0.16,0.05,0.79,0.16,0,2.4329,47.3741,10.4573,837.782,2.4778,Pb,Pb,na,1,1,0,1.19,207.2,110,715.6,2.33,Br; I,Br, I,0.51; 2.49,0.51,2.49,2.1592,118.91,300.281,1030.755,2.7110002,0.969516616,0.551130048,,FALSE,,1,Spin-coating,1,SLG | FTO,TiO2-c,Spiro-MeOTAD,1,Air,Air,100,AM 1.5,FALSE,,,1.03,20.8,0.746,16.1
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,Cs0.05FA0.79MA0.16PbBr0.51I2.49,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.79; 0.16,0.05,0.79,0.16,0,2.4329,47.3741,10.4573,837.782,2.4778,Pb,Pb,na,1,1,0,1.19,207.2,110,715.6,2.33,Br; I,Br, I,0.51; 2.49,0.51,2.49,2.1592,118.91,300.281,1030.755,2.7110002,0.969516616,0.551130048,,FALSE,,1,Spin-coating,1,SLG | FTO,SnO2-c,Spiro-MeOTAD,1,Air,Air,100,AM 1.5,FALSE,,,1.05,21.8,0.767,17.5
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,Cs0.05FA0.81MA0.14PbBr0.45I2.55,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.81; 0.14,0.05,0.81,0.14,0,2.4401,47.6339,10.455701,836.238,2.4782,Pb,Pb,na,1,1,0,1.19,207.2,110,715.6,2.33,Br; I,Br, I,0.45; 2.55,0.45,2.55,2.164,119.85,299.69498,1028.125,2.705,0.970659013,0.549907579,,FALSE,,1,Spin-coating,1,SLG | FTO,SnO2-c,Spiro-MeOTAD,1,Air,Air,100,AM 1.5,FALSE,,10,1.097,22.26,0.75,18.32
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,Cs0.05FA0.81MA0.14PbBr0.45I2.55,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.81; 0.14,0.05,0.81,0.14,0,2.4401,47.6339,10.455701,836.238,2.4782,Pb,Pb,na,1,1,0,1.19,207.2,110,715.6,2.33,Br; I,Br, I,0.45; 2.55,0.45,2.55,2.164,119.85,299.69498,1028.125,2.705,0.970659013,0.549907579,,FALSE,,1,Spin-coating,1,SLG | FTO,SnO2-c,Spiro-MeOTAD,1,Air,Air,100,AM 1.5,FALSE,,10,1.092,22.21,0.755,18.07
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,Cs0.05FA0.81MA0.14PbBr0.45I2.55,Cs; FA; MA,Cs, FA, MA,na,0.05; 0.81; 0.14,0.05,0.81,0.14,0,2.4401,47.6339,10.455701,836.238,2.4782,Pb,Pb,na,1,1,0,1.19,207.2,110,715.6,2.33,Br; I,Br, I,0.45; 2.55,0.45,2.55,2.164,119.85,299.69498,1028.125,2.705,0.970659013,0.549907579,,FALSE,,1,Spin-coating,1,SLG | FTO,SnO2-c,Spiro-MeOTAD,1,Air,Air,100,AM 1.5,FALSE,,10,1.064,22.24,0.71,16.9
