val_PCE_mae,val_PCE_rmse,val_latents_mae,val_latents_rmse,val_etm_ce,val_etm_accuracy,val_htm_ce,val_htm_accuracy,total_val_loss,epoch,step,train_PCE_mae,train_PCE_rmse,train_latents_mae,train_latents_rmse,train_etm_ce,train_etm_accuracy,train_htm_ce,train_htm_accuracy,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
14.989213943481445,15.592950820922852,0.6842498779296875,1.0298032760620117,2.1668524742126465,0.4527618885040283,1.5925084352493286,0.3736666738986969,19.432825088500977,0,16,,,,,,,,,,,,,
,,,,,,,,,0,16,14.426499366760254,15.178679466247559,0.762952446937561,1.137445092201233,2.261072874069214,0.43722689151763916,1.7536922693252563,0.338382363319397,19.964191436767578,0.7599737644195557,0.0,0.0,0.0
14.989213943481445,15.592950820922852,0.6155973672866821,0.9711208343505859,2.0181307792663574,0.5372381210327148,1.3832374811172485,0.5163333415985107,19.006179809570312,1,33,,,,,,,,,,,,,
,,,,,,,,,1,33,14.500285148620605,15.242161750793457,0.679623544216156,1.0788097381591797,2.103989601135254,0.47114846110343933,1.4971423149108887,0.4194117784500122,19.521738052368164,0.7406929731369019,0.0,0.0,0.0
13.478979110717773,14.284347534179688,0.5778443217277527,0.9319619536399841,1.8957080841064453,0.5486667156219482,1.2192628383636475,0.6236667037010193,17.171794891357422,2,50,,,,,,,,,,,,,
,,,,,,,,,2,50,14.031848907470703,14.879233360290527,0.6186263561248779,1.0230870246887207,1.9700266122817993,0.5208963751792908,1.2798174619674683,0.5771569013595581,18.623275756835938,0.7229596376419067,0.0,0.0,0.0
10.269660949707031,11.966273307800293,0.5548878908157349,0.9128738045692444,1.7961033582687378,0.6240000128746033,1.1262158155441284,0.6741666793823242,13.746868133544922,3,67,,,,,,,,,,,,,
,,,,,,,,,3,67,12.230147361755371,13.45327091217041,0.5911008715629578,0.993630588054657,1.8481049537658691,0.5772268772125244,1.1127873659133911,0.6661274433135986,16.492862701416016,0.7107248902320862,0.0,0.0,0.0
9.737768173217773,11.361930847167969,0.5107282996177673,0.8784830570220947,1.7169675827026367,0.6498095989227295,1.0588979721069336,0.6821666955947876,13.024362564086914,4,84,,,,,,,,,,,,,
,,,,,,,,,4,84,11.162233352661133,12.565704345703125,0.549716591835022,0.9629673361778259,1.7524049282073975,0.605658233165741,1.0374009609222412,0.6951470375061035,15.20352840423584,0.7017702460289001,0.0,0.0,0.0
8.892321586608887,10.68806266784668,0.47771236300468445,0.8517003059387207,1.6432265043258667,0.6466666460037231,0.9844257831573486,0.7858332991600037,11.997685432434082,5,101,,,,,,,,,,,,,
,,,,,,,,,5,101,10.489402770996094,12.050312042236328,0.5062674283981323,0.9114260673522949,1.6926047801971436,0.621988832950592,0.9469131231307983,0.7534803748130798,14.330781936645508,0.6955933570861816,0.0,0.0,0.0
8.883816719055176,10.579971313476562,0.45083731412887573,0.8262396454811096,1.5814311504364014,0.6679999828338623,0.9295091032981873,0.8088333010673523,11.845593452453613,6,118,,,,,,,,,,,,,
,,,,,,,,,6,118,10.369877815246582,11.983415603637695,0.48449981212615967,0.9024873375892639,1.6215295791625977,0.6215686202049255,0.8743970990180969,0.8221078515052795,14.040679931640625,0.6903746724128723,0.0,0.0,0.0
8.606340408325195,10.297398567199707,0.42797747254371643,0.8060991764068604,1.5273222923278809,0.6744762063026428,0.8810586333274841,0.8138332962989807,11.442699432373047,7,135,,,,,,,,,,,,,
,,,,,,,,,7,135,10.175714492797852,11.79809856414795,0.4555143415927887,0.8815375566482544,1.5687402486801147,0.6278431415557861,0.8104230165481567,0.8562254905700684,13.695866584777832,0.6854727268218994,0.0,0.0,0.0
8.373193740844727,10.106173515319824,0.40678176283836365,0.7840389609336853,1.4739326238632202,0.6895238161087036,0.8317853212356567,0.8273333311080933,11.085693359375,8,152,,,,,,,,,,,,,
,,,,,,,,,8,152,10.350651741027832,11.971989631652832,0.42208001017570496,0.8283829092979431,1.5229265689849854,0.6450420022010803,0.7741940021514893,0.8611764907836914,13.750821113586426,0.6809700131416321,0.0,0.0,0.0
8.301603317260742,10.123326301574707,0.38746631145477295,0.7630487084388733,1.4236329793930054,0.7259047627449036,0.7852898836135864,0.8173333406448364,10.897993087768555,9,169,,,,,,,,,,,,,
,,,,,,,,,9,169,10.215055465698242,11.862763404846191,0.4072745740413666,0.8292805552482605,1.4643152952194214,0.6768347024917603,0.7116534113883972,0.8591176271438599,13.476381301879883,0.678080677986145,0.0,0.0,0.0
8.64620590209961,10.355475425720215,0.3691266179084778,0.7445860505104065,1.372194528579712,0.7420952320098877,0.7535625100135803,0.8343333005905151,11.14108943939209,10,186,,,,,,,,,,,,,
,,,,,,,,,10,186,10.078238487243652,11.723041534423828,0.3887232542037964,0.8178777694702148,1.4023463726043701,0.7029411196708679,0.6699737310409546,0.8612254858016968,13.214911460876465,0.6756314039230347,0.0,0.0,0.0
8.015898704528809,9.913285255432129,0.3535979986190796,0.7245703935623169,1.324484944343567,0.738095223903656,0.7141223549842834,0.840833306312561,10.408103942871094,11,203,,,,,,,,,,,,,
,,,,,,,,,11,203,10.258355140686035,11.912705421447754,0.36423221230506897,0.772315263748169,1.361481785774231,0.6994117498397827,0.6154173612594604,0.8816667199134827,13.271993637084961,0.6725080609321594,0.0,0.0,0.0
8.202424049377441,9.940995216369629,0.34270888566970825,0.710090160369873,1.2793657779693604,0.7418095469474792,0.6922944784164429,0.8654999732971191,10.516793251037598,12,220,,,,,,,,,,,,,
